Category,Season Title,Show Title,type,Week,count of shows,Cumulative Weeks In Top 10,Weekly Hours Viewed,Weekly Rank
Films (English),N/A,Red Notice,Film,11/21/2021,1,2,129110000,1
Films (English),N/A,The Princess Switch 3: Romancing the Star,Film,11/21/2021,1,1,24770000,2
Films (English),N/A,Love Hard,Film,11/21/2021,1,3,21240000,3
Films (English),N/A,Central Intelligence,Film,11/21/2021,1,1,14910000,4
Films (English),N/A,The Harder They Fall,Film,11/21/2021,1,3,13770000,5
Films (English),N/A,The Croods,Film,11/21/2021,1,1,13430000,6
Films (English),N/A,Army of Thieves,Film,11/21/2021,1,4,12260000,7
Films (English),N/A,Trolls,Film,11/21/2021,1,1,10120000,8
Films (English),N/A,6 Underground,Film,11/21/2021,1,1,7770000,9
Films (English),N/A,Goosebumps 2: Haunted Halloween,Film,11/21/2021,1,1,7680000,10
Films (Non-English),N/A,Just Short of Perfect,Film,11/21/2021,1,1,9630000,1
Films (Non-English),N/A,7 Prisoners,Film,11/21/2021,1,2,9570000,2
Films (Non-English),N/A,Yara,Film,11/21/2021,1,3,5660000,3
Films (Non-English),N/A,Prayers for the Stolen,Film,11/21/2021,1,1,4700000,4
Films (Non-English),N/A,Dhamaka,Film,11/21/2021,1,1,4200000,5
Films (Non-English),N/A,Love Me Instead,Film,11/21/2021,1,1,3000000,6
Films (Non-English),N/A,The Claus Family,Film,11/21/2021,1,3,2420000,7
Films (Non-English),N/A,Earwig and the Witch,Film,11/21/2021,1,1,2100000,8
Films (Non-English),N/A,The Forgotten Battle,Film,11/21/2021,1,6,1940000,9
Films (Non-English),N/A,Meenakshi Sundareshwar,Film,11/21/2021,1,3,1900000,10
TV (English),Arcane: Season 1,Arcane,TV,11/21/2021,1,2,38420000,1
TV (English),Tiger King 2,Tiger King,TV,11/21/2021,1,1,30030000,2
TV (English),Narcos: Mexico: Season 3,Narcos: Mexico,TV,11/21/2021,1,3,27540000,3
TV (English),Maid: Limited Series,Maid,TV,11/21/2021,1,8,23920000,4
TV (English),You: Season 3,You,TV,11/21/2021,1,6,23460000,5
TV (English),Cowboy Bebop: Season 1,Cowboy Bebop,TV,11/21/2021,1,1,21630000,6
TV (English),Dynasty: Season 4,Dynasty,TV,11/21/2021,1,5,15060000,7
TV (English),Locke & Key: Season 2,Locke & Key,TV,11/21/2021,1,5,12340000,8
TV (English),You: Season 2,You,TV,11/21/2021,1,5,11670000,9
TV (English),Big Mouth: Season 5,Big Mouth,TV,11/21/2021,1,3,11410000,10
TV (Non-English),Hellbound: Season 1,Hellbound,TV,11/21/2021,1,1,43480000,1
TV (Non-English),The Queen of Flow: Season 2,The Queen of Flow,TV,11/21/2021,1,1,38640000,2
TV (Non-English),Squid Game: Season 1,Squid Game,TV,11/21/2021,1,10,30410000,3
TV (Non-English),The King's Affection: Season 1,The King's Affection,TV,11/21/2021,1,5,15640000,4
TV (Non-English),Carinha de Anjo: Season 1,Carinha de Anjo,TV,11/21/2021,1,7,13180000,5
TV (Non-English),Hometown Cha-Cha-Cha: Season 1,Hometown Cha-Cha-Cha,TV,11/21/2021,1,12,13150000,6
TV (Non-English),Christmas Flow: Season 1,Christmas Flow,TV,11/21/2021,1,1,9720000,7
TV (Non-English),The Queen of Flow: Season 1,The Queen of Flow,TV,11/21/2021,1,1,8810000,8
TV (Non-English),Love Never Lies: Season 1,Love Never Lies,TV,11/21/2021,1,1,8370000,9
TV (Non-English),"Yo soy Betty, la fea: Season 1","Yo soy Betty, la fea",TV,11/21/2021,1,6,7800000,10
Films (English),N/A,Red Notice,Film,11/14/2021,1,1,148720000,1
Films (English),N/A,Love Hard,Film,11/14/2021,1,2,58560000,2
Films (English),N/A,The Harder They Fall,Film,11/14/2021,1,2,33060000,3
Films (English),N/A,Army of Thieves,Film,11/14/2021,1,3,20560000,4
Films (English),N/A,Father Christmas Is Back,Film,11/14/2021,1,1,13780000,5
Films (English),N/A,211,Film,11/14/2021,1,1,7900000,6
Films (English),N/A,Army of the Dead,Film,11/14/2021,1,3,7620000,7
Films (English),N/A,Passing,Film,11/14/2021,1,1,7490000,8
Films (English),N/A,Transformers: The Last Knight,Film,11/14/2021,1,2,6920000,9
Films (English),N/A,Jumanji: The Next Level,Film,11/14/2021,1,1,6760000,10
Films (Non-English),N/A,Yara,Film,11/14/2021,1,2,17950000,1
Films (Non-English),N/A,7 Prisoners,Film,11/14/2021,1,1,9690000,2
Films (Non-English),N/A,The Claus Family,Film,11/14/2021,1,2,4440000,3
Films (Non-English),N/A,Meenakshi Sundareshwar,Film,11/14/2021,1,2,4410000,4
Films (Non-English),N/A,The Forgotten Battle,Film,11/14/2021,1,5,2630000,5
Films (Non-English),N/A,Stuck Together,Film,11/14/2021,1,4,2610000,6
Films (Non-English),N/A,Lords of Scam,Film,11/14/2021,1,1,2120000,7
Films (Non-English),N/A,Fierce,Film,11/14/2021,1,1,1800000,8
Films (Non-English),N/A,Der Fall Collini,Film,11/14/2021,1,2,1590000,9
Films (Non-English),N/A,Doctor (Tamil),Film,11/14/2021,1,2,1430000,10
TV (English),Narcos: Mexico: Season 3,Narcos: Mexico,TV,11/14/2021,1,2,50290000,1
TV (English),Arcane: Season 1,Arcane,TV,11/14/2021,1,1,34170000,2
TV (English),You: Season 3,You,TV,11/14/2021,1,5,33720000,3
TV (English),Maid: Limited Series,Maid,TV,11/14/2021,1,7,29480000,4
TV (English),Big Mouth: Season 5,Big Mouth,TV,11/14/2021,1,2,25390000,5
TV (English),Dynasty: Season 4,Dynasty,TV,11/14/2021,1,4,21020000,6
TV (English),Locke & Key: Season 2,Locke & Key,TV,11/14/2021,1,4,18770000,7
TV (English),Narcos: Mexico: Season 1,Narcos: Mexico,TV,11/14/2021,1,1,15570000,8
TV (English),You: Season 2,You,TV,11/14/2021,1,4,15520000,9
TV (English),You: Season 1,You,TV,11/14/2021,1,5,14570000,10
TV (Non-English),Squid Game: Season 1,Squid Game,TV,11/14/2021,1,9,42790000,1
TV (Non-English),The King's Affection: Season 1,The King's Affection,TV,11/14/2021,1,4,14120000,2
TV (Non-English),Hometown Cha-Cha-Cha: Season 1,Hometown Cha-Cha-Cha,TV,11/14/2021,1,11,13820000,3
TV (Non-English),Carinha de Anjo: Season 1,Carinha de Anjo,TV,11/14/2021,1,6,13660000,4
TV (Non-English),My Name: Season 1,My Name,TV,11/14/2021,1,5,10820000,5
TV (Non-English),Where is Marta?: Limited Series,Where is Marta?,TV,11/14/2021,1,1,8640000,6
TV (Non-English),The Five Juanas: Season 1,The Five Juanas,TV,11/14/2021,1,6,8490000,7
TV (Non-English),The Club: Part 1,The Club,TV,11/14/2021,1,1,7860000,8
TV (Non-English),"Yo soy Betty, la fea: Season 1","Yo soy Betty, la fea",TV,11/14/2021,1,5,7650000,9
TV (Non-English),"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",Demon Slayer: Kimetsu no Yaiba,TV,11/14/2021,1,2,6060000,10
Films (English),N/A,Army of Thieves,Film,11/7/2021,1,2,71610000,1
Films (English),N/A,The Harder They Fall,Film,11/7/2021,1,1,64760000,2
Films (English),N/A,Love Hard,Film,11/7/2021,1,1,40530000,3
Films (English),N/A,Army of the Dead,Film,11/7/2021,1,2,16910000,4
Films (English),N/A,Transformers: The Last Knight,Film,11/7/2021,1,1,13180000,5
Films (English),N/A,21 Jump Street,Film,11/7/2021,1,1,11690000,6
Films (English),N/A,Hypnotic,Film,11/7/2021,1,2,11140000,7
Films (English),N/A,The Girl in the Spider's Web,Film,11/7/2021,1,1,6580000,8
Films (English),N/A,Amina,Film,11/7/2021,1,1,6110000,9
Films (English),N/A,Just Go With It,Film,11/7/2021,1,1,5740000,10
Films (Non-English),N/A,Yara,Film,11/7/2021,1,1,11610000,1
Films (Non-English),N/A,The Claus Family,Film,11/7/2021,1,1,6760000,2
Films (Non-English),N/A,Stuck Together,Film,11/7/2021,1,3,5780000,3
Films (Non-English),N/A,The Forgotten Battle,Film,11/7/2021,1,4,3860000,4
Films (Non-English),N/A,Der Fall Collini,Film,11/7/2021,1,1,3230000,5
Films (Non-English),N/A,Meenakshi Sundareshwar,Film,11/7/2021,1,1,2820000,6
Films (Non-English),N/A,Nobody Sleeps in the Woods Tonight 2,Film,11/7/2021,1,2,2660000,7
Films (Non-English),N/A,Monk Comes Down the Mountain,Film,11/7/2021,1,1,1590000,8
Films (Non-English),N/A,The Trip,Film,11/7/2021,1,4,1540000,9
Films (Non-English),N/A,Doctor (Tamil),Film,11/7/2021,1,1,1530000,10
TV (English),You: Season 3,You,TV,11/7/2021,1,4,52590000,1
TV (English),Maid: Limited Series,Maid,TV,11/7/2021,1,6,41290000,2
TV (English),Locke & Key: Season 2,Locke & Key,TV,11/7/2021,1,3,32250000,3
TV (English),Dynasty: Season 4,Dynasty,TV,11/7/2021,1,3,32050000,4
TV (English),Narcos: Mexico: Season 3,Narcos: Mexico,TV,11/7/2021,1,1,28150000,5
TV (English),You: Season 2,You,TV,11/7/2021,1,3,21660000,6
TV (English),Maya and the Three: Limited Series,Maya and the Three,TV,11/7/2021,1,2,21470000,7
TV (English),You: Season 1,You,TV,11/7/2021,1,4,20910000,8
TV (English),Big Mouth: Season 5,Big Mouth,TV,11/7/2021,1,1,19570000,9
TV (English),Locke & Key: Season 1,Locke & Key,TV,11/7/2021,1,3,15950000,10
TV (Non-English),Squid Game: Season 1,Squid Game,TV,11/7/2021,1,8,65000000,1
TV (Non-English),My Name: Season 1,My Name,TV,11/7/2021,1,4,18430000,2
TV (Non-English),Hometown Cha-Cha-Cha: Season 1,Hometown Cha-Cha-Cha,TV,11/7/2021,1,10,16010000,3
TV (Non-English),Carinha de Anjo: Season 1,Carinha de Anjo,TV,11/7/2021,1,5,14090000,4
TV (Non-English),The Five Juanas: Season 1,The Five Juanas,TV,11/7/2021,1,5,13000000,5
TV (Non-English),The King's Affection: Season 1,The King's Affection,TV,11/7/2021,1,3,11990000,6
TV (Non-English),Sintonia: Season 2,Sintonia,TV,11/7/2021,1,2,11010000,7
TV (Non-English),Luis Miguel - The Series: Season 3,Luis Miguel - The Series,TV,11/7/2021,1,2,9720000,8
TV (Non-English),"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",Demon Slayer: Kimetsu no Yaiba,TV,11/7/2021,1,1,7940000,9
TV (Non-English),"Yo soy Betty, la fea: Season 1","Yo soy Betty, la fea",TV,11/7/2021,1,4,7710000,10
Films (English),N/A,Army of Thieves,Film,10/31/2021,1,1,49640000,1
Films (English),N/A,Hypnotic,Film,10/31/2021,1,1,24620000,2
Films (English),N/A,Night Teeth,Film,10/31/2021,1,2,17010000,3
Films (English),N/A,Final Score,Film,10/31/2021,1,1,9840000,4
Films (English),N/A,King Arthur: Legend of the Sword,Film,10/31/2021,1,1,9150000,5
Films (English),N/A,Only Mine,Film,10/31/2021,1,1,6670000,6
Films (English),N/A,Army of the Dead,Film,10/31/2021,1,1,5780000,7
Films (English),N/A,Bloodshot,Film,10/31/2021,1,1,5590000,8
Films (English),N/A,A Dog's Journey,Film,10/31/2021,1,2,5320000,9
Films (English),N/A,Venom,Film,10/31/2021,1,4,4190000,10
Films (Non-English),N/A,Stuck Together,Film,10/31/2021,1,2,12000000,1
Films (Non-English),N/A,The Forgotten Battle,Film,10/31/2021,1,3,8410000,2
Films (Non-English),N/A,Nobody Sleeps in the Woods Tonight 2,Film,10/31/2021,1,1,6560000,3
Films (Non-English),N/A,In for a Murder,Film,10/31/2021,1,2,4790000,4
Films (Non-English),N/A,The Trip,Film,10/31/2021,1,3,3310000,5
Films (Non-English),N/A,Nobody Sleeps in the Woods Tonight,Film,10/31/2021,1,1,1900000,6
Films (Non-English),N/A,Friendzone,Film,10/31/2021,1,5,1410000,7
Films (Non-English),N/A,The Four of Us,Film,10/31/2021,1,2,1190000,8
Films (Non-English),N/A,Budapest,Film,10/31/2021,1,1,1190000,9
Films (Non-English),N/A,Grudge,Film,10/31/2021,1,4,1110000,10
TV (English),You: Season 3,You,TV,10/31/2021,1,3,82790000,1
TV (English),Maid: Limited Series,Maid,TV,10/31/2021,1,5,56700000,2
TV (English),Locke & Key: Season 2,Locke & Key,TV,10/31/2021,1,2,56490000,3
TV (English),Dynasty: Season 4,Dynasty,TV,10/31/2021,1,2,47820000,4
TV (English),Maya and the Three: Limited Series,Maya and the Three,TV,10/31/2021,1,1,34000000,5
TV (English),You: Season 1,You,TV,10/31/2021,1,3,29880000,6
TV (English),You: Season 2,You,TV,10/31/2021,1,2,28050000,7
TV (English),Locke & Key: Season 1,Locke & Key,TV,10/31/2021,1,2,24590000,8
TV (English),Inside Job: Part 1,Inside Job,TV,10/31/2021,1,1,21240000,9
TV (English),CoComelon: Season 4,CoComelon,TV,10/31/2021,1,2,13710000,10
TV (Non-English),Squid Game: Season 1,Squid Game,TV,10/31/2021,1,7,90100000,1
TV (Non-English),My Name: Season 1,My Name,TV,10/31/2021,1,3,38580000,2
TV (Non-English),Sintonia: Season 2,Sintonia,TV,10/31/2021,1,1,25890000,3
TV (Non-English),The Five Juanas: Season 1,The Five Juanas,TV,10/31/2021,1,4,19410000,4
TV (Non-English),Hometown Cha-Cha-Cha: Season 1,Hometown Cha-Cha-Cha,TV,10/31/2021,1,9,18290000,5
TV (Non-English),Carinha de Anjo: Season 1,Carinha de Anjo,TV,10/31/2021,1,4,14070000,6
TV (Non-English),Luis Miguel - The Series: Season 3,Luis Miguel - The Series,TV,10/31/2021,1,1,9990000,7
TV (Non-English),The King's Affection: Season 1,The King's Affection,TV,10/31/2021,1,2,9740000,8
TV (Non-English),Love Is Blind: Brazil: Season 1,Love Is Blind: Brazil,TV,10/31/2021,1,3,9130000,9
TV (Non-English),The Chestnut Man: Season 1,The Chestnut Man,TV,10/31/2021,1,5,8910000,10
Films (English),N/A,Night Teeth,Film,10/24/2021,1,1,31870000,1
Films (English),N/A,Venom,Film,10/24/2021,1,3,7900000,2
Films (English),N/A,What Happens in Vegas,Film,10/24/2021,1,1,7380000,3
Films (English),N/A,A Dog's Journey,Film,10/24/2021,1,1,5760000,4
Films (English),N/A,My Little Pony: A New Generation,Film,10/24/2021,1,5,5570000,5
Films (English),N/A,Unfaithful,Film,10/24/2021,1,1,5350000,6
Films (English),N/A,Going in Style,Film,10/24/2021,1,2,4520000,7
Films (English),N/A,The Guilty,Film,10/24/2021,1,4,4400000,8
Films (English),N/A,Street Kings,Film,10/24/2021,1,1,3440000,9
Films (English),N/A,Hotel Transylvania 3: Summer Vacation,Film,10/24/2021,1,4,3430000,10
Films (Non-English),N/A,The Forgotten Battle,Film,10/24/2021,1,2,25800000,1
Films (Non-English),N/A,The Trip,Film,10/24/2021,1,2,11550000,2
Films (Non-English),N/A,Stuck Together,Film,10/24/2021,1,1,9000000,3
Films (Non-English),N/A,In for a Murder,Film,10/24/2021,1,1,6520000,4
Films (Non-English),N/A,The Four of Us,Film,10/24/2021,1,1,4140000,5
Films (Non-English),N/A,"My Brother, My Sister",Film,10/24/2021,1,3,2680000,6
Films (Non-English),N/A,Grudge,Film,10/24/2021,1,3,2240000,7
Films (Non-English),N/A,Friendzone,Film,10/24/2021,1,4,1910000,8
Films (Non-English),N/A,Confessions of an Invisible Girl,Film,10/24/2021,1,5,1400000,9
Films (Non-English),N/A,Beauty and the Beast,Film,10/24/2021,1,4,1150000,10
TV (English),You: Season 3,You,TV,10/24/2021,1,2,179000000,1
TV (English),Maid: Limited Series,Maid,TV,10/24/2021,1,4,79040000,2
TV (English),You: Season 1,You,TV,10/24/2021,1,2,44810000,3
TV (English),Locke & Key: Season 2,Locke & Key,TV,10/24/2021,1,1,35530000,4
TV (English),You: Season 2,You,TV,10/24/2021,1,1,33120000,5
TV (English),Dynasty: Season 4,Dynasty,TV,10/24/2021,1,1,19970000,6
TV (English),Sex Education: Season 3,Sex Education,TV,10/24/2021,1,6,18380000,7
TV (English),CoComelon: Season 4,CoComelon,TV,10/24/2021,1,1,15930000,8
TV (English),Another Life: Season 2,Another Life,TV,10/24/2021,1,1,15760000,9
TV (English),Locke & Key: Season 1,Locke & Key,TV,10/24/2021,1,1,15710000,10
TV (Non-English),Squid Game: Season 1,Squid Game,TV,10/24/2021,1,6,147560000,1
TV (Non-English),My Name: Season 1,My Name,TV,10/24/2021,1,2,84530000,2
TV (Non-English),The Five Juanas: Season 1,The Five Juanas,TV,10/24/2021,1,3,34600000,3
TV (Non-English),Hometown Cha-Cha-Cha: Season 1,Hometown Cha-Cha-Cha,TV,10/24/2021,1,8,31840000,4
TV (Non-English),Love Is Blind: Brazil: Season 1,Love Is Blind: Brazil,TV,10/24/2021,1,2,16290000,5
TV (Non-English),Carinha de Anjo: Season 1,Carinha de Anjo,TV,10/24/2021,1,3,13930000,6
TV (Non-English),The Chestnut Man: Season 1,The Chestnut Man,TV,10/24/2021,1,4,12900000,7
TV (Non-English),Alice in Borderland: Season 1,Alice in Borderland,TV,10/24/2021,1,5,8700000,8
TV (Non-English),"Yo soy Betty, la fea: Season 1","Yo soy Betty, la fea",TV,10/24/2021,1,3,7710000,9
TV (Non-English),The King's Affection: Season 1,The King's Affection,TV,10/24/2021,1,1,6950000,10
Films (English),N/A,Venom,Film,10/17/2021,1,2,20400000,1
Films (English),N/A,The Guilty,Film,10/17/2021,1,3,12590000,2
Films (English),N/A,Security,Film,10/17/2021,1,2,9470000,3
Films (English),N/A,My Little Pony: A New Generation,Film,10/17/2021,1,4,8220000,4
Films (English),N/A,There's Someone Inside Your House,Film,10/17/2021,1,2,7380000,5
Films (English),N/A,Pokémon the Movie: Secrets of the Jungle,Film,10/17/2021,1,2,7300000,6
Films (English),N/A,Redemption,Film,10/17/2021,1,1,5800000,7
Films (English),N/A,Going in Style,Film,10/17/2021,1,1,4950000,8
Films (English),N/A,Titanic,Film,10/17/2021,1,2,4930000,9
Films (English),N/A,Knight and Day,Film,10/17/2021,1,1,4770000,10
Films (Non-English),N/A,The Forgotten Battle,Film,10/17/2021,1,1,21460000,1
Films (Non-English),N/A,"My Brother, My Sister",Film,10/17/2021,1,2,7360000,2
Films (Non-English),N/A,Grudge,Film,10/17/2021,1,2,6060000,3
Films (Non-English),N/A,Fever Dream,Film,10/17/2021,1,1,6030000,4
Films (Non-English),N/A,The Trip,Film,10/17/2021,1,1,3390000,5
Films (Non-English),N/A,Friendzone,Film,10/17/2021,1,3,3340000,6
Films (Non-English),N/A,Confessions of an Invisible Girl,Film,10/17/2021,1,4,2120000,7
Films (Non-English),N/A,Tudo por um Pop Star,Film,10/17/2021,1,1,1870000,8
Films (Non-English),N/A,Violet Evergarden the Movie,Film,10/17/2021,1,1,1800000,9
Films (Non-English),N/A,Beauty and the Beast,Film,10/17/2021,1,3,1800000,10
TV (English),You: Season 3,You,TV,10/17/2021,1,1,133120000,1
TV (English),Maid: Limited Series,Maid,TV,10/17/2021,1,3,129280000,2
TV (English),Sex Education: Season 3,Sex Education,TV,10/17/2021,1,5,28190000,3
TV (English),Shameless (U.S.): Season 11,Shameless (U.S.),TV,10/17/2021,1,1,23530000,4
TV (English),You: Season 1,You,TV,10/17/2021,1,1,23050000,5
TV (English),Midnight Mass: Limited Series,Midnight Mass,TV,10/17/2021,1,4,20940000,6
TV (English),A Tale Dark & Grimm: Season 1,A Tale Dark & Grimm,TV,10/17/2021,1,1,18730000,7
TV (English),On My Block: Season 4,On My Block,TV,10/17/2021,1,2,17360000,8
TV (English),The Baby-Sitters Club: Season 2,The Baby-Sitters Club,TV,10/17/2021,1,1,17030000,9
TV (English),Grey's Anatomy: Season 17,Grey's Anatomy,TV,10/17/2021,1,3,15990000,10
TV (Non-English),Squid Game: Season 1,Squid Game,TV,10/17/2021,1,5,258840000,1
TV (Non-English),The Five Juanas: Season 1,The Five Juanas,TV,10/17/2021,1,2,62890000,2
TV (Non-English),My Name: Season 1,My Name,TV,10/17/2021,1,1,41780000,3
TV (Non-English),Hometown Cha-Cha-Cha: Season 1,Hometown Cha-Cha-Cha,TV,10/17/2021,1,7,37740000,4
TV (Non-English),The Chestnut Man: Season 1,The Chestnut Man,TV,10/17/2021,1,3,20720000,5
TV (Non-English),Alice in Borderland: Season 1,Alice in Borderland,TV,10/17/2021,1,4,16310000,6
TV (Non-English),Love Is Blind: Brazil: Season 1,Love Is Blind: Brazil,TV,10/17/2021,1,1,13770000,7
TV (Non-English),Carinha de Anjo: Season 1,Carinha de Anjo,TV,10/17/2021,1,2,12760000,8
TV (Non-English),"Nevertheless,: Season 1","Nevertheless,",TV,10/17/2021,1,7,10080000,9
TV (Non-English),House of Secrets: The Burari Deaths: Limited Series,House of Secrets: The Burari Deaths,TV,10/17/2021,1,1,9220000,10
Films (English),N/A,The Guilty,Film,10/10/2021,1,2,42280000,1
Films (English),N/A,There's Someone Inside Your House,Film,10/10/2021,1,1,20480000,2
Films (English),N/A,Venom,Film,10/10/2021,1,1,13920000,3
Films (English),N/A,My Little Pony: A New Generation,Film,10/10/2021,1,3,13370000,4
Films (English),N/A,Titanic,Film,10/10/2021,1,1,10210000,5
Films (English),N/A,Ride Along 2,Film,10/10/2021,1,1,8020000,6
Films (English),N/A,Heat,Film,10/10/2021,1,1,7640000,7
Films (English),N/A,Pokémon the Movie: Secrets of the Jungle,Film,10/10/2021,1,1,7520000,8
Films (English),N/A,Mr. & Mrs. Smith,Film,10/10/2021,1,1,7180000,9
Films (English),N/A,Security,Film,10/10/2021,1,1,6830000,10
Films (Non-English),N/A,Friendzone,Film,10/10/2021,1,2,7210000,1
Films (Non-English),N/A,The Seven Deadly Sins: Cursed by Light,Film,10/10/2021,1,2,4070000,2
Films (Non-English),N/A,Sounds Like Love,Film,10/10/2021,1,2,3600000,3
Films (Non-English),N/A,Confessions of an Invisible Girl,Film,10/10/2021,1,3,2730000,4
Films (Non-English),N/A,Forever Rich,Film,10/10/2021,1,1,2540000,5
Films (Non-English),N/A,Thalaivii,Film,10/10/2021,1,2,2110000,6
Films (Non-English),N/A,Grudge,Film,10/10/2021,1,1,1940000,7
Films (Non-English),N/A,Luccas Neto em: O Mapa do Tesouro 2,Film,10/10/2021,1,1,1830000,8
Films (Non-English),N/A,Beauty and the Beast,Film,10/10/2021,1,2,1790000,9
Films (Non-English),N/A,"My Brother, My Sister",Film,10/10/2021,1,1,1670000,10
TV (English),Maid: Limited Series,Maid,TV,10/10/2021,1,2,166520000,1
TV (English),On My Block: Season 4,On My Block,TV,10/10/2021,1,1,63520000,2
TV (English),Sex Education: Season 3,Sex Education,TV,10/10/2021,1,4,42120000,3
TV (English),Grey's Anatomy: Season 17,Grey's Anatomy,TV,10/10/2021,1,2,29650000,4
TV (English),Midnight Mass: Limited Series,Midnight Mass,TV,10/10/2021,1,3,29020000,5
TV (English),PAW Patrol: Season 6,PAW Patrol,TV,10/10/2021,1,1,19910000,6
TV (English),Lucifer: Season 6,Lucifer,TV,10/10/2021,1,5,16730000,7
